name,street_address,price,cuisine,rating
2D1N Soju Bang Korean Restaurant,44/46 Tanjong Pagar Road,$31 - $50,Korean,4
2nd Mini Steamboat Delight,"Novena Gardens, 273 Thomson Road, #01-04",$11 - $20,Singaporean,4
2The Pot,333 Joo Chiat Road,$11 - $20,"Thai, Chinese",
328 Katong Laksa,"Queensway Shopping Centre, 1 Queensway #01-60",Under $10,Peranakan / Nonya,3.5
328 Katong Laksa,51 East Coast Road,Under $10,Singaporean Chinese,3.5
328 Katong Laksa,216 East Coast Road,Under $10,Chinese,3.5
363 Holland Village Nasi Lemak,"Holland Village Market &amp; Food Centre, 1 Lorong Mambong #01-15",Under $10,Malay,3.5
4 Fingers Crispy Chicken,"Plaza Singapura, 68 Orchard Road #B1-07",Under $10,Korean,3.5
4 Fingers Crispy Chicken,"ION Orchard, 2 Orchard Turn #B4-06A",Under $10,Korean,3.5
5 Drunken Rabbits Bistro &amp; Bar,201 Pasir Ris Road,$21 - $30,American,3
5 Little Bears,"Far East Plaza, 14 Scotts Road #01-07",Under $10,"Taiwanese, Chinese",3
5 Little Bears,"Paya Lebar Square, 60 Paya Lebar Road #B1-09",Under $10,Taiwanese,
5 Senses,"799 New Upper Changi Road, #02-30/31",$11 - $20,French,
545 Whampoa Prawn Noodle,"Whampoa Makan Place, 91 Whampoa Drive #01-39",Under $10,,3.5
69 Cold Soya Beancurd,"115 Bukit Merah View Market &amp; Food Centre, Blk 115 Bukit Merah View #01-76",Under $10,"Singaporean, Chinese",
(7&quot;)&#178; Pizza,"Lau Pa Sat Festival Market, 18 Raffles Quay",Under $10,Italian,
7 Gang Kway Chap,"Kim Keat Palm Market &amp; Food Centre, Blk 22 Lorong 7 Toa Payoh #01-32",Under $10,,3.5
7 Wonders Seafood,369 Jalan Besar,$11 - $20,Singaporean Chinese,
71 Lor Mee,"Bukit Merah View Hawker Centre, Blk 115 Bukit Merah View #01-71",Under $10,,
761 Yishun Seafood,"Blk 761, Yishun St 72",Under $10,Singaporean,3
78 Economic Mixed Rice - KTP Coffee Shop,"KTP Coffee Shop, 401 Hougang Avenue 10",Under $10,Singaporean,
8 Korean BBQ,"The Central, 6 Eu Tong Sen St #02-79/90",$31 - $50,Korean,4
8 Korean BBQ,"1 Scotts Road, #04-20/21 Shaw Centre",$31 - $50,Korean,
848 Sugar Cane &amp; Fruit Juice,"Maxwell Food Centre, 1 Kadayanallur St #01-84",Under $10,,
85 Bedok North Fried Oyster,"Bedok 85 Market, Blk 85 Bedok North St 4 #01-09/10",Under $10,"Singaporean, Chinese",3.5
88 Chicken Rice,Blk 726 Clementi West,Under $10,"Singaporean, Chinese",
8Tarts n Pastries,"Tampines Mall, 4 Tampines Central 5 #B1-K13",Under $10,Cantonese/Hong Kong,3.5
91 Fried Kway Teow Mee,"Golden Mile Food Centre, 505 Beach Road #01-91",Under $10,,3.5
99 Le Cha Shi,"Bedok Interchange Food Centre, Blk 207 New Upper Changi Road #01-39",Under $10,,
9Goubuli,"Marina Bay Sands, 2 Bayfront Avenue #B2-02 (The Shoppes)",$21 - $30,Singaporean Chinese,
A B Mohamed Restaurant,276/8 Serangoon Road,Under $10,Indian,
A for Arbite,28 Aliwal St #01-01,$21 - $30,Fusion,4
A-Gan TEA,Blk 703 Ang Mo Kio Ave 8 #01-25,Under $10,Taiwanese,3.5
A-One Bak Kut Teh,"The Star Vista, 1 Vista Exchange Green #01-46",$11 - $20,"Singaporean, Chinese",
A-One Claypot House,"Jurong Point, 1 Jurong West Central 2 #03-09/10/11 (JP1)",$11 - $20,,3.5
A-One Claypot House,"Bukit Panjang Plaza, 1 Jelubu Road #01-58/59",$11 - $20,Chinese,3.5
A-One Claypot House,"Nex, 23 Serangoon Central #B1-73",$11 - $20,,
A-One Claypot House,Tampines 1 #05-04,Under $10,Chinese,3.5
A-One Claypot House,"Causeway Point, 1 Woodlands Square #03-31",$11 - $20,,
A.R.C. Coffee,29/31 Sultan Gate,$11 - $20,American,
A-Roy Thai Restaurant,"238 Thomson Road, #03-61, Novena Square",$11 - $20,Thai,4
A-Roy Thai Restaurant,"Goodwill Court, 81 Upper East Coast Road",$11 - $20,Thai,4
A&amp;W,"Jewel Changi Airport, 78 Airport Boulevard, #B2-209",Under $10,American,
A1 Chicken Rice,"Ang Mo Kio Market &amp; Food Centre, Blk 724 Ang Mo Kio Ave 6 #01-42",Under $10,Hainanese,
A1 Family Ayam Goreng &amp; Western Food - Everday Come Coffeeshop,Blk 477 Tampines St 43 #01-192,Under $10,,
A1 Family Ayam Goreng &amp; Western Food - TP406 Food House,406 Tampines Street 41 #01-07,Under $10,Singaporean Western,3.5
aBite,46 Owen Road #01-277,$21 - $30,,
Absinthe,72 Boat Quay,$51 - $80,French,3.5
Aburiya,"The Quayside, 60 Robertson Quay #01-03",$31 - $50,Japanese,4
Adam&#39;s Delights,"Adam Road Food Centre, 2 Adam Road #01-11",Under $10,Indian,
Addictions Caf&#233; &amp; Remedy Bar,"Marina Square, 6 Raffles Boulevard #02-105A",$21 - $30,Multi-Cuisine,3.5
Aeiou,111 King George&#39;s Ave,$11 - $20,,3.5
Aglio Olio,"Nankin Row, 3 Pickering St #01-40/41",$11 - $20,Italian,3.5
Agrobazaar Malaysia,37-43 Sultan Gate,Under $10,Malaysian,
Ah Chew Desserts,"Liang Seah St, 1 Liang Seah St #01-10/11",Under $10,,4
Ah Chuan Fried Oyster Omelette,"Kim Keat Palm Market &amp; Food Centre, Blk 22 Lorong 7 Toa Payoh #01-25",Under $10,Fujian/Heng Hwa,3.5
Ah Dong Tea Restaurant,10 Tebing Lane #01-03/04,Under $10,Fusion,3.5
Ah Heng Curry Chicken Bee Hoon Mee,"Hong Lim Market &amp; Food Centre, Blk 531A Upper Cross St #02-57/58",Under $10,Chinese,4
Ah Heng Duck Rice,"Hong Lim Market &amp; Food Centre, Blk 531A Upper Cross St #02-64",Under $10,Chinese,3.5
Ah Hock Fried Hokkien Noodles,"Chomp Chomp Food Centre, 20 Kensington Park Road #01-29",Under $10,,4
Ah Hock Fried Oyster Hougang,"Whampoa Makan Place, 90 Whampoa Drive #01-54",Under $10,,4
Ah Hoe Mee Pok,"Weng Kwang Coffee House, Blk 710 Clementi West Street 2",Under $10,,
Ah Kow Mushroom Minced Pork Mee,Block 359 Bukit Batok Street 31,Under $10,"Malaysian, Singaporean Chinese",
Ah Lam&#39;s Abalone Soup,460 Race Course Road,Under $10,,3.5
Ah Liang BBQ Seafood,"Serangoon Garden Market &amp; Food Centre, 49A Serangoon Garden Way",Under $10,Singaporean,3
Ah Long Mian Tan,"Eating House 815, Jurong West St 81 #01-210",Under $10,,
Ah Loy Thai,"Shaw Towers, 100 Beach Road #01-39/40",$11 - $20,Thai,4
Ah Meng Restaurant,"Singapore Zoo, 80 Mandai Lake Road",Under $10,Singaporean,3.5
Ah Nam BBQ Seafood Steamed Fish,"Changi Village Hawker Centre, Blk 2 Changi Village Road #01-67/68",Under $10,Chinese,3.5
Ah Orh Seafood Restaurant,Blk 115 Jalan Bukit Merah #01-1627,$31 - $50,"Teochew, Chinese",4
Ah Seah Teochew Porridge,31/33 Teck Chye Terrace,Under $10,"Teochew, Chinese",3
Ah Seng Durian,"Ghim Moh Road Market and Food Centre, Blk 20 Ghim Moh Road #01-197",$11 - $20,,
Ah-Tai Hainanese Chicken Rice,"Maxwell Food Centre, 1 Kadayanallur St #01-07",Under $10,,3.5
Ah Teck Herbal Claypot Bak Kut Teh ,"161 Bukit Merah Central, #01-3749, Hua Ren Ju Seafood Restaurant",Under $10,Singaporean,
Ah Yat Seafood Restaurant,"The Grandstand, 200 Turf Club Road #03-01/02",$51 - $80,Chinese,3.5
Ah Yee&#39;s Soon Kueh,"Dunman Food Centre,  271 Onan Road #01-05",Under $10,Teochew,3.5
Aher Soup,443 Pasir Ris,Under $10,"Singaporean, Chinese",
Ai Mien Bar,"Capital Tower, 168 Robinson Road #01-08",$11 - $20,,3.5
AiSkiLin,215F Upper Thomson Road,Under $10,Thai,
Ajisen Ramen,"Lot One Shoppers&#39; Mall, 21 Choa Chu Kang Ave 4 #04-11/12",$11 - $20,Japanese,4
Ajisen Ramen,"The Clementi Mall, 3155 Commonwealth Ave West #B1-34/35",$11 - $20,Japanese,4
Ajisen Ramen - FEAST,"Jurong Point, 63 Jurong West Central 3 #03-38/38A (JP2)",$11 - $20,Japanese,4.5
Ajisen Ramen,"Hougang Mall, 90 Hougang Ave 10 #02-11/19",$11 - $20,Japanese,3.5
Ajisen Ramen,"IMM, 2 Jurong East St 21 #01-113/114",$11 - $20,Japanese,3.5
Ajisen Ramen - Rasapura Masters,"Marina Bay Sands, 2 Bayfront Avenue #B2-50 (The Shoppes)",$11 - $20,Japanese,3.5
Ajisen Ramen,"Sembawang Shopping Centre, 604 Sembawang Road, #02-29/30",$11 - $20,Japanese,3.5
Ajisen Ramen,"Compass Point, 1 Sengkang Square #02-15",$11 - $20,Japanese,3.5
Ajisen Ramen,"Tampines Mall, 4 Tampines Central 5 #04-19/20",$11 - $20,Japanese,3.5
Akari Japanese Dining &amp; Bar,"Marina Bay Financial Centre, 8A Marina Boulevard #01-02 (Ground Plaza)",$31 - $50,Japanese,
Akashi Japanese Restaurant,"Orchard Parade Hotel, 1 Tanglin Road #01-01A",$31 - $50,Japanese,3.5
Akashi Japanese Restaurant,"VivoCity, 1 Harbourfront Walk #B2-28",$31 - $50,Japanese,3.5
Al-Azhar Eating Restaurant,11 Cheong Chin Nam Road,Under $10,"Indian, Malay",3.5
AL Azmath Prata Stall,Blk 632 Ang Mo Kio Ave 4 #01-948,Under $10,Indian,
AL FALAH Restaurant,"681, Hougang Avenue 8, #01-855",Under $10,,3.5
Al Forno East Coast,400 East Coast Road,$21 - $30,Italian,4
Al-Mahayas Bryani Prata Hut,"Ang Mo Kio Market &amp; Food Centre, Blk 724 Ang Mo Kio Ave 6 #01-04",Under $10,Indian,
Al Mahboob Rojak Restaurant,506 Tampines Central 1 #01-361,Under $10,Indian,
Alex&#39;s Eating House,"Chye Sing Building, 87 Beach Road #01-01",Under $10,Cantonese/Hong Kong,3.5
Alfero Artisan Gelato,"Orchard Gateway, 277 Orchard Road #B2-06",Under $10,Italian,4
Al&#39;Frank Cookies,12 Haji Lane,Under $10,,
Alibabar Dining Caf&#233; Bar,"Alexandra Central, 321 Alexandra Road #01-15",$11 - $20,,
Alkaff Mansion Ristorante,10 Telok Blangah Green,$31 - $50,Italian,4
Alliance Seafood,"Newton Circus Food Centre, 500 Clemenceau Avenue North, #01-27",$21 - $30,Singaporean Chinese,4.5
Alma by Juan Amador,"Goodwood Park Hotel, 22 Scotts Road",$31 - $50,European,
Alt. Pizza,"Suntec City Mall, East Wing, 3 Temasek Boulevard #01-602/603",$21 - $30,Italian,
AmaSoy,"Jurong Point, 63 Jurong West Central 3 #03-42/47 (JP2)",Under $10,Japanese,4
AmaSoy,"ION Orchard, 2 Orchard Turn #B4-64",Under $10,"Japanese, Singaporean",3
Amazing Hokkaido,"Riverside View, 30 Robertson Quay, #01-16",$21 - $30,Japanese,
Amazonia Bistro,"Great World City, 1 Kim Seng Promenade #03-08",Under $10,American,4
Ambush,"Junction 8 Shopping Centre, 9 Bishan Place #02-19/20/27",$11 - $20,European,3.5
Ambush,"Plaza Singapura, 68 Orchard Road #04-64/66",$11 - $20,European,3.5
Ambush,"Jem, 50 Jurong Gateway Road #04-13",$11 - $20,European,3.5
Ambush,"Ngee Ann City, 391 Orchard Road #B2 (Takashimaya Food Hall)",$11 - $20,European,4
Amici Authentic Italian Restaurant,"Holland Village, 275 Holland Ave",$21 - $30,"Italian, European",3.5
Amigo Noodle,"Changi Village Hawker Centre, Blk 2 Changi Village Road #01-34",Under $10,,3.5
Amk Mushroom Minced Meat Noodle,"Ang Mo Kio 628 Market, Blk 628 Ang Mo Kio Ave 4 #01-72",Under $10,,4
An Australian Concept - Tasty Foodcourt,"Tanglin Mall, 163 Tanglin Road #B1-17",Under $10,Australian / New Zealand,
Ananas Cafe,"Ang Mo Kio MRT Station, 2450 Ang Mo Kio Avenue 8",Under $10,Singaporean,
Ananas Cafe,"Bukit Gombak MRT, 802 Bukit Batok West Ave 5 #01-11",Under $10,,3
Ananas Cafe,"Bukit Batok MRT, 10  Bukit Batok Central #01-16",Under $10,,
Ananas Cafe,"CityVibe, 3151 Commonwealth Ave West #01-11",Under $10,,3.5
Ananas Cafe,"Kranji MRT, 960 Woodlands Road",Under $10,,
Ananas Cafe,"V Hotel, 70 Jelicoe Road",Under $10,Singaporean,
Ananas Cafe,"Pasir Ris MRT, Blk 10 Pasir Ris Central #01-02 to 05/15",Under $10,,3
Ananas Cafe,"Queenstown MRT, 301 Commonwealth Ave",Under $10,,4.5
Ananas Cafe,"Tiong Bahru Plaza, 302 Tiong Bahru Road #01-02A/03",Under $10,,3.5
And Why,31 Bali Lane,$11 - $20,American,
Andersen’s of Denmark,"Jurong Point, 1 Jurong West Central 2 #02-K6 (JP1)",Under $10,,3.5
Andersen’s of Denmark,"Marina Square, 6 Raffles Boulevard #02-207A",Under $10,American,4
Andersen’s of Denmark,"Suntec City Mall, East Wing, 3 Temasek Boulevard #02-606A",Under $10,,4
Andersen’s of Denmark,"IMM, 2 Jurong East St 21 #01-12A",Under $10,American,4
Aneka Rasa Chicken Rice,"Kovan Hougang Market &amp; Food Centre, 209 Hougang St 21 #01-25",Under $10,Malay,
Ang Sa Lee Fried Oyster,"Chomp Chomp Food Centre, 20 Kensington Park Road #01-33",Under $10,,4
Ang Teck Lim Drinks Stall,"Changi Village Hawker Centre, Blk 2/3 Changi Village Road #01-10",Under $10,,
Angel &amp; Devil,22 Keong Saik Road,$31 - $50,"European, Asian Variety",
Anjappar,"Jurong Point, 63 Jurong West Central 3 #03-35A (JP2)",$11 - $20,Indian,
Annalakshmi,"Chinatown Point, Podium A, 133 New Bridge Road, #B1-02  ",$31 - $50,Indian,
Antoinette,30 Penhas Road,$11 - $20,French,4
Aoki Restaurant,"Shaw Centre, 1 Scotts Road #01-17",$81 - $150,Japanese,4.5
AquaMarine,"Marina Mandarin Singapore, 6 Raffles Boulevard Level 4",$31 - $50,Multi-Cuisine,4
Arbite,66A Serangoon Garden Way,$21 - $30,European,3.5
Archipelago Creamery,"Nanyang Community Club, 60 Jurong West St 91 #01-09",Under $10,,
Arirang Korean Restaurant,"Liang Seah St, 1 Liang Seah St #01-07",$11 - $20,Korean,2.5
Arnold&#39;s Fried Chicken,"City Plaza, 810 Geylang Road #02-99/101",$11 - $20,,3.5
Arnold&#39;s Fried Chicken,"Golden Village Cinema, 51 Yishun Central 1 #01-04",Under $10,,3.5
Arossa Wine &amp; Grill,"Scotts Square, 6 Scotts Rd #02-01",$31 - $50,Italian,4
Aroy Dee Thai Caf&#233;,262 Middle Road,Under $10,Thai,
Aroy Dee Thai Food,"Redhill Food Centre, Blk 85 Redhill Lane,  #01-25",Under $10,Singaporean,
Aroy Mak Mookata,510 MacPherson Road,Under $10,Thai,
Aroy Mootaka Thai BBQ Steamboat,Blk 1008A Toa Payoh North,Under $10,Thai,3
Artease Cafe,"Cathay Cineleisure Orchard, 8 Grange Road #01-03",Under $10,,3.5
Artease,"NTU, 14 Nanyang Circle",Under $10,,3.5
Arteastiq DePatio,"Plaza Singapura, 68 Orchard Road, #03-70/72",$51 - $80,English,4
Arteastiq,"Mandarin Gallery, 333A Orchard Road, #04-14/15",$51 - $80,"Asian Variety, Fusion",4
Arteastiq Tea Bone China,"Millenia Walk, 9 Raffles Boulevard #02-19/20",$21 - $30,"Cantonese/Hong Kong, Shanghainese",3.5
Artisan Boulangerie Co.,"Asia Square Tower 2, 12 Marina View #01-02",$11 - $20,French,
Artistry,17 Jalan Pinang,$11 - $20,English,4
AS Indian Classic Cuisine,"Lau Pa Sat Festival Market, 18 Raffles Quay",Under $10,Indian,
As-Shifaa Caf&#233;,"Lucky Plaza, 304 Orchard Road #06-52",Under $10,Malay,4.5
Asanoya Bakery,15 Queen St #01-03,Under $10,Japanese,4
Ash &amp; Elm,"InterContinental Singapore, 80 Middle Road Level 1",$31 - $50,European,3.5
Asian Cuisine,"Entrepreneur Business Centre, 18 Kaki Bukit Road 3, #01-15",$21 - $30,Singaporean Chinese,
Asian Market Caf&#233;,"Fairmont Singapore, 80 Bras Basah Road Level 2",$31 - $50,Asian Variety,4
Assembly Coffee,26 Evans Road,$11 - $20,,4
Aster Pau,"AMK Hub, 53 Ang Mo Kio Ave 3 #B2-38",Under $10,Cantonese/Hong Kong,2.5
Astons Express,Blk 721 Ang Mo Kio Ave 8 #01-2823,Under $10,,4
Astons Express,"Heng Long Catering, Blk 1014 Upper Serangoon Road Stall 2",Under $10,,4
Astons - Kopitiam,"Singapore Post Centre, 10 Eunos Road 8 #B2-08",Under $10,,3.5
Astons Specialities,"Changi Airport Terminal 1, 80 Airport Boulevard #03-18 (Viewing Mall)",$11 - $20,,4
Astons Specialities,"Suntec City Mall, Wast Wing, 3 Temasek Boulevard #B1-161/162",$11 - $20,,3.5
Astons Specialities,"The Cathay, 2 Handy Road #04-03/04",$11 - $20,,4
Astons Specialities,"City Square Mall, 180 Kitchener Road #01-30/31",$11 - $20,,3.5
Astons Specialities,"Sembawang Shopping Centre, 604 Sembawang Road #B1-12/13/14",$11 - $20,,4
Astons Specialities,"Resorts World Sentosa, 26 Sentosa Gateway #01-40/41/42 (Waterfront)",$11 - $20,,4
Astons Specialities,"SAFRA Toa Payoh, 293 Lorong 6 Toa Payoh #01-05",$11 - $20,,3.5
Astons,Blk 167 Woodlands St 11 #01-07,Under $10,,3.5
Atlantic Mix Grill,"Suntec City Mall, 3 Temasek Boulevard #03-006",$11 - $20,Middle Eastern/Mediterranean,
ATLAS,"Parkview Square, 600 North Bridge Road",$51 - $80,,
Atlas Coffeehouse,6 Duke&#39;s Road,$11 - $20,English,4
atout,40C Harding Road,$81 - $150,"French, European",
Attica,"Clarke Quay, 3A River Valley Road #01-03",$31 - $50,Multi-Cuisine,
Auntie Anne&#39;s,"Great World City, 1 Kim Seng Promenade #01-K2",Under $10,American,4
Awe Desserts,"PoMo, 1 Selegie Road #02-09",Under $10,,
Awfully Chocolate,"Jurong Point, 63 Jurong West Central 3 #B1-79 (JP2)",Under $10,,4
Awfully Chocolate,131 East Coast Road,Under $10,Fusion,4
Awfully Chocolate,"ION Orchard, 2 Orchard Turn #B4-50",Under $10,,4
Awfully Chocolate,"VivoCity, 1 Harbourfront Walk #01-156",Under $10,French,4
Awfully Chocolate,"Sembawang Hills Estate, 4 Jalan Kuras",Under $10,,4
Axis Bar and Lounge,"Mandarin Oriental Singapore, 5 Raffles Ave",$31 - $50,,4
Ayam Penyet - Canteen 2,"NTU, Blk 41 Students Walk (Hall of Residence 2)",Under $10,Malay,3.5
Ayam Penyet Ria,"Far East Plaza, 14 Scotts Road #05-22",Under $10,Indonesian,3.5
Ayam Penyet Ria,"Lucky Plaza, 304 Orchard Road #01-042/047",Under $10,Indonesian,4
Ayza&#39;s Cafe,"Beauty World Centre, 144 Upper Bukit Timah Road #04-18",Under $10,"Indian, Singaporean",
Azmaya Honten,"Cuppage Plaza, 5 Koek Road #03-24 to 28",$31 - $50,Japanese,
Azmaya,30 Robertson Quay #01-12/13,$21 - $30,Japanese,4
Azucar,345 Beach Road,$21 - $30,"Spanish, Italian, Middle Eastern/Mediterranean, European, Fusion",
Azur Restaurant,"Crowne Plaza Changi Airport, 75 Airport Boulevard Level 2",$31 - $50,Multi-Cuisine,3.5
Azzura Gelato Cafe,"Katong V, 30 East Coast Road #01-01/02",$11 - $20,Australian / New Zealand,
B. Bakery,15 Bussorah St,$11 - $20,American,3.5
Ba Xian,"Tower Club, 9 Raffles Place #63",$21 - $30,Singaporean Chinese,
Baan Khun Nai Authentic Thai Cuisine,"The Odeon Katong, 11 East Coast Road #01-22",$11 - $20,Thai,3.5
Baba Chews,86 East Coast Road #01-01 Katong Square,$21 - $30,"Peranakan / Nonya, Singaporean Chinese",
Babalicious,"Marina Cove, 1000 East Coast Parkway, #01-02",$11 - $20,Peranakan / Nonya,
Babette Restaurant &amp; Bar,"Parc Sovereign Hotel,165 Tyrwhitt Road",$11 - $20,"French, European, Japanese",4
Backstage Cafe,"Performance Building, 158 Kallang Way #01-06",$21 - $30,,3.5
Badoque Caf&#233;,296 Upper Thomson Road,$11 - $20,"Fusion, Multi-Cuisine",3.5
Bai Nian,"Albert Centre Market &amp; Food Centre, 270 Queen St #01-58",Under $10,"Singaporean, Chinese",
Baikohken Ramen,"KINEX, 11 Tanjong Katong Road #01-67/68",$11 - $20,Japanese,
Baja Fresh,"Rendezvous Gallery, 9 Bras Basah Road, #01-03",$11 - $20,Mexican,3.5
BAKE Cheese Tart,"ION Orchard, #B4-33, 2 Orchard",Under $10,Japanese,
Bake Inc,"Gek Poh Shopping Centre, 762 Jurong West St 75 #01-314",Under $10,,
Bake Inc - Kopitiam,"Blk 275D Compassvale Link, #01-01",Under $10,,2.5
BakeBabe,"Far East Finance Building, 14 Robinson Rd #13-00",$31 - $50,,
Baker &amp; Cook,77 Hillcrest Road,$11 - $20,European,4
Baker &amp; Cook,"Clementi Arcade, 41 Sunset Way",$11 - $20,,
Baker &amp; Cook,"Chip Bee Gardens, 44 Jalan Merah Saga #01-56",$11 - $20,European,
Baker Talent,"Boon Lay Shopping Centre, 221 Boon Lay Place #01-154",Under $10,,4
Baker Talent,Blk 303 Chua Chu Kang Ave 4 #01-723,Under $10,,4.5
Baker Talent,Blk 846 Yishun Ring Road #01-3633,Under $10,,3.5
Baker&#39;s Oven Pattisieries,"SPC Bukit Panjang, 41 Bukit Panjang Ring Road",$11 - $20,Portuguese,4
Bakersworld,15-8 Jalan Riang Serangoon Park,$11 - $20,,
Bakery Artisan Original (BAO),"CT Hub, 2 Kallang Avenue #02-17",Under $10,,
Bakery &amp; Bar St Marc,"Parkland Green, 920 East Coast Parkway #01-09/10",$11 - $20,Japanese,
Bakery Cuisine,"Sembawang Shopping Centre, 604 Sembawang Road #B1-19",Under $10,Japanese,
BAKERZIN,"Jurong Point, 63 Jurong West Central 3 #03-58/59 (JP2)",$11 - $20,,4
BAKERZIN,"Paragon, 290 Orchard Road #02-09",$11 - $20,,4
BAKERZIN,"Century Square, 2 Tampines Central 5 #01-19/22",$11 - $20,,
BAKERZIN,"VivoCity, 1 Harbourfront Walk #01-207",$11 - $20,,4
BAKERZIN,"Northpoint, 930 Yishun Ave 2 #01-44",$11 - $20,,4
Balaclava,"Suntec City, North Wing, 3 Temasek Boulevard #01-434",$11 - $20,Fusion,
BALIthai,"West Mall, 1 Bukit Batok Central Link #03-03",$21 - $30,"Thai, Indonesian",3.5
BALIthai,"I12 Katong, 112 East Coast Road #02-11",$21 - $30,"Thai, Indonesian",4
BALIthai,"Nex, 23 Serangoon Central #02-13",$21 - $30,"Thai, Indonesian",3.5
Ballistic Meatballs,"Simpang Bedok, 348 Bedok Road #02-15",Under $10,,4
Ban Heng,"Orchard Central, 181 Orchard Road #11-01/02",$51 - $80,"Cantonese/Hong Kong, Teochew",3.5
Ban Heng,"Harbourfront Centre, 1 Maritime Square #04-01/02",$51 - $80,"Cantonese/Hong Kong, Teochew",3.5
Ban Mian - Cantine,"Jurong Point, 1 Jurong West Central 2 #B1-42/43/44 (JP1)",Under $10,,
Ban Mian . Fish . Seafood Soup - Kopitiam,"NUH Main Building 1, 5 Lower Kent Ridge Road, Kopitiam",Under $10,Singaporean,3.5
Ban Mian / Fish Soup,"Nanyang Polytechnic, 180 Ang Mo Kio Ave 8 (North Canteen)",Under $10,"Singaporean, Chinese",
Ban Mian / Fish Soup - Koufu,"Nanyang Polytechnic, 180 Ang Mo Kio Ave 8, Blk A Unit 235",Under $10,,3.5
Ban Mian / Fish Soup - Koufu,Blk 263 Compassvale St #01-09,Under $10,,
Ban Mian - Fountain Food Terrace,"Suntec City Mall, 3 Temasek Boulevard #B1-024/025/045 (Fountain Food Terrace)",Under $10,Singaporean,3.5
Ban Mian - Kopitiam,"IMM, 2 Jurong East St 21 #02-69",Under $10,"Singaporean, Chinese",
Ban Mian - Koufu,"Loyang Point, Blk 258 Pasir Ris St 21 #02-313",Under $10,"Singaporean, Chinese",
Ban Mian - Lucky Food Centre,"Lucky Plaza, 304 Orchard Road #B1-99/101",Under $10,,
Ban Mian - Matrix Cafeteria,"ITE College West, 1 Choa Chu Kang Grove",Under $10,,
Ban Tong Seafood Restaurant,"Rainbow Noodle Restuarant, Blk 378 Clementi Avenue 5 #01-334",Under $10,,
Bangkok Jam,"Plaza Singapura, 68 Orchard Road #03-85",$31 - $50,Thai,3
Bangkok Jam,"Jem, 50 Jurong Gateway Road #03-21",$31 - $50,Thai,3
Bangkok Jam,"Wheelock Place, 501 Orchard Road #02-04/05",$31 - $50,Thai,3.5
Bao Luo Wan Xiang - Kopitiam,"Manulife Centre, 51 Bras Basah Road #01-03",Under $10,"Cantonese/Hong Kong, Chinese",
