name,street_address,price,cuisine,rating,latitude,longitude
8Tarts n Pastries,"Tampines Mall, 4 Tampines Central 5 #B1-K13",Under $10,Cantonese/Hong Kong,3.5,1.352645,103.94473
91 Fried Kway Teow Mee,"Golden Mile Food Centre, 505 Beach Road #01-91",Under $10,,3.5,1.303082,103.863835
99 Le Cha Shi,"Bedok Interchange Food Centre, Blk 207 New Upper Changi Road #01-39",Under $10,,,1.325246,103.930352
9Goubuli,"Marina Bay Sands, 2 Bayfront Avenue #B2-02 (The Shoppes)",$21 - $30,Singaporean Chinese,,1.283697,103.860723
A B Mohamed Restaurant,276/8 Serangoon Road,Under $10,Indian,,1.310496,103.854587
A for Arbite,28 Aliwal St #01-01,$21 - $30,Fusion,4,1.302552,103.86107
A-Gan TEA,Blk 703 Ang Mo Kio Ave 8 #01-25,Under $10,Taiwanese,3.5,1.369778,103.84732
A-One Bak Kut Teh,"The Star Vista, 1 Vista Exchange Green #01-46",$11 - $20,"Singaporean, Chinese",,1.306871,103.78857
A-One Claypot House,"Jurong Point, 1 Jurong West Central 2 #03-09/10/11 (JP1)",$11 - $20,,3.5,1.322669,103.720709
A-One Claypot House,"Bukit Panjang Plaza, 1 Jelubu Road #01-58/59",$11 - $20,Chinese,3.5,1.378902,103.76171
A-One Claypot House,"Nex, 23 Serangoon Central #B1-73",$11 - $20,,,1.351221,103.872292
A-One Claypot House,Tampines 1 #05-04,Under $10,Chinese,3.5,1.354803,103.943453
A-One Claypot House,"Causeway Point, 1 Woodlands Square #03-31",$11 - $20,,,1.436185,103.785816
A.R.C. Coffee,29/31 Sultan Gate,$11 - $20,American,,1.30137,103.860681
A-Roy Thai Restaurant,"238 Thomson Road, #03-61, Novena Square",$11 - $20,Thai,4,1.319589,103.844028
A-Roy Thai Restaurant,"Goodwill Court, 81 Upper East Coast Road",$11 - $20,Thai,4,1.312998,103.927624
A&amp;W,"Jewel Changi Airport, 78 Airport Boulevard, #B2-209",Under $10,American,,1.360234,103.989709
A1 Chicken Rice,"Ang Mo Kio Market &amp; Food Centre, Blk 724 Ang Mo Kio Ave 6 #01-42",Under $10,Hainanese,,1.37008,103.849523
A1 Family Ayam Goreng &amp; Western Food - Everday Come Coffeeshop,Blk 477 Tampines St 43 #01-192,Under $10,,,1.389233,103.772983
A1 Family Ayam Goreng &amp; Western Food - TP406 Food House,406 Tampines Street 41 #01-07,Under $10,Singaporean Western,3.5,1.358074,103.945768
aBite,46 Owen Road #01-277,$21 - $30,,,1.31514,103.850797
Absinthe,72 Boat Quay,$51 - $80,French,3.5,1.288015,103.849246
Aburiya,"The Quayside, 60 Robertson Quay #01-03",$31 - $50,Japanese,4,1.290185,103.839111
Adam&#39;s Delights,"Adam Road Food Centre, 2 Adam Road #01-11",Under $10,Indian,,1.324163,103.814149
Addictions Caf&#233; &amp; Remedy Bar,"Marina Square, 6 Raffles Boulevard #02-105A",$21 - $30,Multi-Cuisine,3.5,1.291914,103.856261
Aeiou,111 King George&#39;s Ave,$11 - $20,,3.5,1.46694,103.82278
Aglio Olio,"Nankin Row, 3 Pickering St #01-40/41",$11 - $20,Italian,3.5,1.283955,103.847818
Agrobazaar Malaysia,37-43 Sultan Gate,Under $10,Malaysian,,1.301576,103.860554
Ah Chew Desserts,"Liang Seah St, 1 Liang Seah St #01-10/11",Under $10,,4,1.297911,103.856337
Ah Chuan Fried Oyster Omelette,"Kim Keat Palm Market &amp; Food Centre, Blk 22 Lorong 7 Toa Payoh #01-25",Under $10,Fujian/Heng Hwa,3.5,1.335532,103.85695
Ah Dong Tea Restaurant,10 Tebing Lane #01-03/04,Under $10,Fusion,3.5,1.392912,103.917405
Ah Heng Curry Chicken Bee Hoon Mee,"Hong Lim Market &amp; Food Centre, Blk 531A Upper Cross St #02-57/58",Under $10,Chinese,4,1.285221,103.845905
Ah Heng Duck Rice,"Hong Lim Market &amp; Food Centre, Blk 531A Upper Cross St #02-64",Under $10,Chinese,3.5,1.285221,103.845905
Ah Hock Fried Hokkien Noodles,"Chomp Chomp Food Centre, 20 Kensington Park Road #01-29",Under $10,,4,1.364233,103.866536
Ah Hock Fried Oyster Hougang,"Whampoa Makan Place, 90 Whampoa Drive #01-54",Under $10,,4,1.32307,103.85499
Ah Hoe Mee Pok,"Weng Kwang Coffee House, Blk 710 Clementi West Street 2",Under $10,,,1.306243,103.761573
Ah Kow Mushroom Minced Pork Mee,Block 359 Bukit Batok Street 31,Under $10,"Malaysian, Singaporean Chinese",,1.361365,103.751307
Ah Lam&#39;s Abalone Soup,460 Race Course Road,Under $10,,3.5,1.309469,103.852039
Ah Liang BBQ Seafood,"Serangoon Garden Market &amp; Food Centre, 49A Serangoon Garden Way",Under $10,Singaporean,3,1.363239,103.866651
Ah Long Mian Tan,"Eating House 815, Jurong West St 81 #01-210",Under $10,,,1.348099,103.694874
Ah Loy Thai,"Shaw Towers, 100 Beach Road #01-39/40",$11 - $20,Thai,4,1.296996,103.85689
Ah Meng Restaurant,"Singapore Zoo, 80 Mandai Lake Road",Under $10,Singaporean,3.5,1.404081,103.783544
Ah Nam BBQ Seafood Steamed Fish,"Changi Village Hawker Centre, Blk 2 Changi Village Road #01-67/68",Under $10,Chinese,3.5,1.38907,103.988457
Ah Orh Seafood Restaurant,Blk 115 Jalan Bukit Merah #01-1627,$31 - $50,"Teochew, Chinese",4,1.284098,103.814547
Ah Seah Teochew Porridge,31/33 Teck Chye Terrace,Under $10,"Teochew, Chinese",3,1.353392,103.87677
Ah Seng Durian,"Ghim Moh Road Market and Food Centre, Blk 20 Ghim Moh Road #01-197",$11 - $20,,,,
Ah-Tai Hainanese Chicken Rice,"Maxwell Food Centre, 1 Kadayanallur St #01-07",Under $10,,3.5,1.280489,103.844672
Ah Teck Herbal Claypot Bak Kut Teh ,"161 Bukit Merah Central, #01-3749, Hua Ren Ju Seafood Restaurant",Under $10,Singaporean,,1.283532,103.815885
Ah Yat Seafood Restaurant,"The Grandstand, 200 Turf Club Road #03-01/02",$51 - $80,Chinese,3.5,1.338869,103.792986
Ah Yee&#39;s Soon Kueh,"Dunman Food Centre,  271 Onan Road #01-05",Under $10,Teochew,3.5,1.309418,103.901833
Aher Soup,443 Pasir Ris,Under $10,"Singaporean, Chinese",,1.369589,103.957391
Ai Mien Bar,"Capital Tower, 168 Robinson Road #01-08",$11 - $20,,3.5,1.277765,103.847718
AiSkiLin,215F Upper Thomson Road,Under $10,Thai,,1.352354,103.834886
Ajisen Ramen,"Lot One Shoppers&#39; Mall, 21 Choa Chu Kang Ave 4 #04-11/12",$11 - $20,Japanese,4,1.385003,103.744925
Ajisen Ramen,"The Clementi Mall, 3155 Commonwealth Ave West #B1-34/35",$11 - $20,Japanese,4,1.314791,103.764247
Ajisen Ramen - FEAST,"Jurong Point, 63 Jurong West Central 3 #03-38/38A (JP2)",$11 - $20,Japanese,4.5,1.338894,103.705622
Ajisen Ramen,"Hougang Mall, 90 Hougang Ave 10 #02-11/19",$11 - $20,Japanese,3.5,1.37243,103.893756
Ajisen Ramen,"IMM, 2 Jurong East St 21 #01-113/114",$11 - $20,Japanese,3.5,1.347118,103.728632
Ajisen Ramen - Rasapura Masters,"Marina Bay Sands, 2 Bayfront Avenue #B2-50 (The Shoppes)",$11 - $20,Japanese,3.5,1.283697,103.860723
Ajisen Ramen,"Sembawang Shopping Centre, 604 Sembawang Road, #02-29/30",$11 - $20,Japanese,3.5,1.441732,103.824813
Ajisen Ramen,"Compass Point, 1 Sengkang Square #02-15",$11 - $20,Japanese,3.5,1.392393,103.895331
Ajisen Ramen,"Tampines Mall, 4 Tampines Central 5 #04-19/20",$11 - $20,Japanese,3.5,1.352645,103.94473
Akari Japanese Dining &amp; Bar,"Marina Bay Financial Centre, 8A Marina Boulevard #01-02 (Ground Plaza)",$31 - $50,Japanese,,1.279467,103.854504
Akashi Japanese Restaurant,"Orchard Parade Hotel, 1 Tanglin Road #01-01A",$31 - $50,Japanese,3.5,1.306552,103.827811
Akashi Japanese Restaurant,"VivoCity, 1 Harbourfront Walk #B2-28",$31 - $50,Japanese,3.5,1.263928,103.822229
Al-Azhar Eating Restaurant,11 Cheong Chin Nam Road,Under $10,"Indian, Malay",3.5,1.342535,103.775246
AL Azmath Prata Stall,Blk 632 Ang Mo Kio Ave 4 #01-948,Under $10,Indian,,1.380236,103.841285
AL FALAH Restaurant,"681, Hougang Avenue 8, #01-855",Under $10,,3.5,1.372996,103.88568
Al Forno East Coast,400 East Coast Road,$21 - $30,Italian,4,1.308792,103.912215
Al-Mahayas Bryani Prata Hut,"Ang Mo Kio Market &amp; Food Centre, Blk 724 Ang Mo Kio Ave 6 #01-04",Under $10,Indian,,1.37008,103.849523
Al Mahboob Rojak Restaurant,506 Tampines Central 1 #01-361,Under $10,Indian,,1.356035,103.945913
Alex&#39;s Eating House,"Chye Sing Building, 87 Beach Road #01-01",Under $10,Cantonese/Hong Kong,3.5,1.297403,103.856646
Alfero Artisan Gelato,"Orchard Gateway, 277 Orchard Road #B2-06",Under $10,Italian,4,1.301085,103.838988
Al&#39;Frank Cookies,12 Haji Lane,Under $10,,,1.300537,103.85936
Alibabar Dining Caf&#233; Bar,"Alexandra Central, 321 Alexandra Road #01-15",$11 - $20,,,1.287251,103.805421
Alkaff Mansion Ristorante,10 Telok Blangah Green,$31 - $50,Italian,4,1.278867,103.813257
Alliance Seafood,"Newton Circus Food Centre, 500 Clemenceau Avenue North, #01-27",$21 - $30,Singaporean Chinese,4.5,1.312061,103.839529
Alma by Juan Amador,"Goodwood Park Hotel, 22 Scotts Road",$31 - $50,European,,1.308678,103.834669
Alt. Pizza,"Suntec City Mall, East Wing, 3 Temasek Boulevard #01-602/603",$21 - $30,Italian,,1.293422,103.856858
AmaSoy,"Jurong Point, 63 Jurong West Central 3 #03-42/47 (JP2)",Under $10,Japanese,4,1.338894,103.705622
AmaSoy,"ION Orchard, 2 Orchard Turn #B4-64",Under $10,"Japanese, Singaporean",3,1.304082,103.832016
Amazing Hokkaido,"Riverside View, 30 Robertson Quay, #01-16",$21 - $30,Japanese,,1.291277,103.841351
Amazonia Bistro,"Great World City, 1 Kim Seng Promenade #03-08",Under $10,American,4,1.293902,103.831787
Ambush,"Junction 8 Shopping Centre, 9 Bishan Place #02-19/20/27",$11 - $20,European,3.5,1.350045,103.848304
Ambush,"Plaza Singapura, 68 Orchard Road #04-64/66",$11 - $20,European,3.5,1.300005,103.844626
Ambush,"Jem, 50 Jurong Gateway Road #04-13",$11 - $20,European,3.5,1.333169,103.743536
Ambush,"Ngee Ann City, 391 Orchard Road #B2 (Takashimaya Food Hall)",$11 - $20,European,4,1.302664,103.834623
Amici Authentic Italian Restaurant,"Holland Village, 275 Holland Ave",$21 - $30,"Italian, European",3.5,1.311803,103.796177
Amigo Noodle,"Changi Village Hawker Centre, Blk 2 Changi Village Road #01-34",Under $10,,3.5,1.38907,103.988457
Amk Mushroom Minced Meat Noodle,"Ang Mo Kio 628 Market, Blk 628 Ang Mo Kio Ave 4 #01-72",Under $10,,4,1.380941,103.840645
An Australian Concept - Tasty Foodcourt,"Tanglin Mall, 163 Tanglin Road #B1-17",Under $10,Australian / New Zealand,,1.304787,103.82383
Ananas Cafe,"Ang Mo Kio MRT Station, 2450 Ang Mo Kio Avenue 8",Under $10,Singaporean,,1.369556,103.849635
Ananas Cafe,"Bukit Gombak MRT, 802 Bukit Batok West Ave 5 #01-11",Under $10,,3,1.358991,103.752078
Ananas Cafe,"Bukit Batok MRT, 10  Bukit Batok Central #01-16",Under $10,,,1.348976,103.749544
Ananas Cafe,"CityVibe, 3151 Commonwealth Ave West #01-11",Under $10,,3.5,1.314294,103.765135
Ananas Cafe,"Kranji MRT, 960 Woodlands Road",Under $10,,,1.425219,103.761989
Ananas Cafe,"V Hotel, 70 Jelicoe Road",Under $10,Singaporean,,1.298993,103.850795
Ananas Cafe,"Pasir Ris MRT, Blk 10 Pasir Ris Central #01-02 to 05/15",Under $10,,3,,
Ananas Cafe,"Queenstown MRT, 301 Commonwealth Ave",Under $10,,4.5,1.294628,103.80601
Ananas Cafe,"Tiong Bahru Plaza, 302 Tiong Bahru Road #01-02A/03",Under $10,,3.5,1.28643,103.827693
And Why,31 Bali Lane,$11 - $20,American,,1.301293,103.858407
Andersen’s of Denmark,"Jurong Point, 1 Jurong West Central 2 #02-K6 (JP1)",Under $10,,3.5,1.322669,103.720709
Andersen’s of Denmark,"Marina Square, 6 Raffles Boulevard #02-207A",Under $10,American,4,1.291914,103.856261
Andersen’s of Denmark,"Suntec City Mall, East Wing, 3 Temasek Boulevard #02-606A",Under $10,,4,1.293422,103.856858
Andersen’s of Denmark,"IMM, 2 Jurong East St 21 #01-12A",Under $10,American,4,1.347118,103.728632
Aneka Rasa Chicken Rice,"Kovan Hougang Market &amp; Food Centre, 209 Hougang St 21 #01-25",Under $10,Malay,,1.359155,103.885976
Ang Sa Lee Fried Oyster,"Chomp Chomp Food Centre, 20 Kensington Park Road #01-33",Under $10,,4,1.364233,103.866536
Ang Teck Lim Drinks Stall,"Changi Village Hawker Centre, Blk 2/3 Changi Village Road #01-10",Under $10,,,1.389658,103.988092
Angel &amp; Devil,22 Keong Saik Road,$31 - $50,"European, Asian Variety",,1.280047,103.841665
Anjappar,"Jurong Point, 63 Jurong West Central 3 #03-35A (JP2)",$11 - $20,Indian,,1.338894,103.705622
Annalakshmi,"Chinatown Point, Podium A, 133 New Bridge Road, #B1-02  ",$31 - $50,Indian,,1.285182,103.844621
Antoinette,30 Penhas Road,$11 - $20,French,4,1.309729,103.86222
Aoki Restaurant,"Shaw Centre, 1 Scotts Road #01-17",$81 - $150,Japanese,4.5,1.306359,103.831646
AquaMarine,"Marina Mandarin Singapore, 6 Raffles Boulevard Level 4",$31 - $50,Multi-Cuisine,4,1.291914,103.856261
Arbite,66A Serangoon Garden Way,$21 - $30,European,3.5,1.364082,103.865609
Archipelago Creamery,"Nanyang Community Club, 60 Jurong West St 91 #01-09",Under $10,,,1.342071,103.686271
Arirang Korean Restaurant,"Liang Seah St, 1 Liang Seah St #01-07",$11 - $20,Korean,2.5,1.297911,103.856337
Arnold&#39;s Fried Chicken,"City Plaza, 810 Geylang Road #02-99/101",$11 - $20,,3.5,1.314618,103.893573
Arnold&#39;s Fried Chicken,"Golden Village Cinema, 51 Yishun Central 1 #01-04",Under $10,,3.5,1.429929,103.836338
Arossa Wine &amp; Grill,"Scotts Square, 6 Scotts Rd #02-01",$31 - $50,Italian,4,1.305834,103.832933
Aroy Dee Thai Caf&#233;,262 Middle Road,Under $10,Thai,,1.301672,103.850433
Aroy Dee Thai Food,"Redhill Food Centre, Blk 85 Redhill Lane,  #01-25",Under $10,Singaporean,,1.287312,103.818335
Aroy Mak Mookata,510 MacPherson Road,Under $10,Thai,,1.332242,103.883913
Aroy Mootaka Thai BBQ Steamboat,Blk 1008A Toa Payoh North,Under $10,Thai,3,1.343274,103.846583
Artease Cafe,"Cathay Cineleisure Orchard, 8 Grange Road #01-03",Under $10,,3.5,1.301454,103.836467
Artease,"NTU, 14 Nanyang Circle",Under $10,,3.5,1.345817,103.687122
Arteastiq DePatio,"Plaza Singapura, 68 Orchard Road, #03-70/72",$51 - $80,English,4,1.300005,103.844626
Arteastiq,"Mandarin Gallery, 333A Orchard Road, #04-14/15",$51 - $80,"Asian Variety, Fusion",4,1.30203,103.836642
Arteastiq Tea Bone China,"Millenia Walk, 9 Raffles Boulevard #02-19/20",$21 - $30,"Cantonese/Hong Kong, Shanghainese",3.5,1.292083,103.859414
Artisan Boulangerie Co.,"Asia Square Tower 2, 12 Marina View #01-02",$11 - $20,French,,1.278117,103.850773
Artistry,17 Jalan Pinang,$11 - $20,English,4,1.302891,103.858189
AS Indian Classic Cuisine,"Lau Pa Sat Festival Market, 18 Raffles Quay",Under $10,Indian,,1.280259,103.850614
As-Shifaa Caf&#233;,"Lucky Plaza, 304 Orchard Road #06-52",Under $10,Malay,4.5,1.30459,103.83407
Asanoya Bakery,15 Queen St #01-03,Under $10,Japanese,4,1.298038,103.852678
Ash &amp; Elm,"InterContinental Singapore, 80 Middle Road Level 1",$31 - $50,European,3.5,1.298437,103.854991
Asian Cuisine,"Entrepreneur Business Centre, 18 Kaki Bukit Road 3, #01-15",$21 - $30,Singaporean Chinese,,1.336934,103.902588
Asian Market Caf&#233;,"Fairmont Singapore, 80 Bras Basah Road Level 2",$31 - $50,Asian Variety,4,1.294082,103.853857
Assembly Coffee,26 Evans Road,$11 - $20,,4,1.318714,103.820406
Aster Pau,"AMK Hub, 53 Ang Mo Kio Ave 3 #B2-38",Under $10,Cantonese/Hong Kong,2.5,1.36926,103.849189
Astons Express,Blk 721 Ang Mo Kio Ave 8 #01-2823,Under $10,,4,1.372347,103.847898
Astons Express,"Heng Long Catering, Blk 1014 Upper Serangoon Road Stall 2",Under $10,,4,1.362668,103.888208
Astons - Kopitiam,"Singapore Post Centre, 10 Eunos Road 8 #B2-08",Under $10,,3.5,1.318727,103.893851
Astons Specialities,"Changi Airport Terminal 1, 80 Airport Boulevard #03-18 (Viewing Mall)",$11 - $20,,4,1.362591,103.990648
Astons Specialities,"Suntec City Mall, Wast Wing, 3 Temasek Boulevard #B1-161/162",$11 - $20,,3.5,1.293422,103.856858
Astons Specialities,"The Cathay, 2 Handy Road #04-03/04",$11 - $20,,4,1.299052,103.84788
Astons Specialities,"City Square Mall, 180 Kitchener Road #01-30/31",$11 - $20,,3.5,1.311361,103.856561
Astons Specialities,"Sembawang Shopping Centre, 604 Sembawang Road #B1-12/13/14",$11 - $20,,4,1.441732,103.824813
Astons Specialities,"Resorts World Sentosa, 26 Sentosa Gateway #01-40/41/42 (Waterfront)",$11 - $20,,4,1.25218,103.824175
Astons Specialities,"SAFRA Toa Payoh, 293 Lorong 6 Toa Payoh #01-05",$11 - $20,,3.5,1.355223,103.76615
Astons,Blk 167 Woodlands St 11 #01-07,Under $10,,3.5,1.433611,103.775885
Atlantic Mix Grill,"Suntec City Mall, 3 Temasek Boulevard #03-006",$11 - $20,Middle Eastern/Mediterranean,,1.293422,103.856858
ATLAS,"Parkview Square, 600 North Bridge Road",$51 - $80,,,1.300412,103.857302
Atlas Coffeehouse,6 Duke&#39;s Road,$11 - $20,English,4,1.281102,103.834189
atout,40C Harding Road,$81 - $150,"French, European",,1.30585,103.813498
Attica,"Clarke Quay, 3A River Valley Road #01-03",$31 - $50,Multi-Cuisine,,1.29003,103.844764
Auntie Anne&#39;s,"Great World City, 1 Kim Seng Promenade #01-K2",Under $10,American,4,1.293902,103.831787
Awe Desserts,"PoMo, 1 Selegie Road #02-09",Under $10,,,1.29991,103.849359
Awfully Chocolate,"Jurong Point, 63 Jurong West Central 3 #B1-79 (JP2)",Under $10,,4,1.338894,103.705622
Awfully Chocolate,131 East Coast Road,Under $10,Fusion,4,1.306185,103.90496
Awfully Chocolate,"ION Orchard, 2 Orchard Turn #B4-50",Under $10,,4,1.304082,103.832016
Awfully Chocolate,"VivoCity, 1 Harbourfront Walk #01-156",Under $10,French,4,1.263928,103.822229
Awfully Chocolate,"Sembawang Hills Estate, 4 Jalan Kuras",Under $10,,4,1.372651,103.829627
Axis Bar and Lounge,"Mandarin Oriental Singapore, 5 Raffles Ave",$31 - $50,,4,1.290661,103.858324
Ayam Penyet - Canteen 2,"NTU, Blk 41 Students Walk (Hall of Residence 2)",Under $10,Malay,3.5,1.348464,103.684201
Ayam Penyet Ria,"Far East Plaza, 14 Scotts Road #05-22",Under $10,Indonesian,3.5,1.307079,103.833146
Ayam Penyet Ria,"Lucky Plaza, 304 Orchard Road #01-042/047",Under $10,Indonesian,4,1.30459,103.83407
Ayza&#39;s Cafe,"Beauty World Centre, 144 Upper Bukit Timah Road #04-18",Under $10,"Indian, Singaporean",,1.342492,103.776647
Azmaya Honten,"Cuppage Plaza, 5 Koek Road #03-24 to 28",$31 - $50,Japanese,,1.301983,103.840726
Azmaya,30 Robertson Quay #01-12/13,$21 - $30,Japanese,4,1.291277,103.841351
Azucar,345 Beach Road,$21 - $30,"Spanish, Italian, Middle Eastern/Mediterranean, European, Fusion",,1.301474,103.861656
Azur Restaurant,"Crowne Plaza Changi Airport, 75 Airport Boulevard Level 2",$31 - $50,Multi-Cuisine,3.5,1.35868,103.987947
Azzura Gelato Cafe,"Katong V, 30 East Coast Road #01-01/02",$11 - $20,Australian / New Zealand,,1.30377,103.90291
B. Bakery,15 Bussorah St,$11 - $20,American,3.5,1.301233,103.860083
Ba Xian,"Tower Club, 9 Raffles Place #63",$21 - $30,Singaporean Chinese,,1.283039,103.850918
Baan Khun Nai Authentic Thai Cuisine,"The Odeon Katong, 11 East Coast Road #01-22",$11 - $20,Thai,3.5,1.304685,103.901889
Baba Chews,86 East Coast Road #01-01 Katong Square,$21 - $30,"Peranakan / Nonya, Singaporean Chinese",,1.30468,103.904727
Babalicious,"Marina Cove, 1000 East Coast Parkway, #01-02",$11 - $20,Peranakan / Nonya,,1.301237,103.912956
Babette Restaurant &amp; Bar,"Parc Sovereign Hotel,165 Tyrwhitt Road",$11 - $20,"French, European, Japanese",4,1.303595,103.851183
Backstage Cafe,"Performance Building, 158 Kallang Way #01-06",$21 - $30,,3.5,1.323146,103.876482
Badoque Caf&#233;,296 Upper Thomson Road,$11 - $20,"Fusion, Multi-Cuisine",3.5,1.353041,103.835133
